약어,원어,설명,참고자료
-,NEW MODEL,기존 라인업상 운영하고 있는 차종의 후속이 아닌 새로운 차종,
FMC,FULL MODEL CHANGE,"기존차종을 단종하고 후속차종 개념으로 내장, 외장, 엔진, 샤시 전반에 걸쳐 전면적으로 개선 변경하는 모델",
-,DERIVATIVE,"동일차종 내에서 자체의 형상이 다른 상품 (예: 고성/저상, 장축/단축, 2/3/4/5도어, 세단/웨건/쿠페)",
F/L,FACE LIFT,"기존차종의 라이프 사이클내에서 차량의 이미지 및 상품성 개선을 위하여 모델 일부분(바디, 엔진, 샤시, 외장일부)을 개선 변경하여 개발하는 차종 (통상적으로 외관 변경이 발생됨)",
PE,PRODUCT ENHANCEMENT,현재 용어를 개조차로 상품성 개선으로 대체하여 사용하고 있음 - 사유: 개조차라는 용어 사용시 신차종의 개념으로 인식되어 M/H형상 등 전행시 에로사항 발생,
MY,MODEL YEAR,차량 상품성 개선을 위한 변경 및 Emission(배기) 대응 등 변경 범위가 매우 적은 차량 개발 (통상적으로 외관 변경은 없음),
-,PROTO,"생산라인을 통하지 않고 초기 차량의 조립성 확인 및 성능(내구성, 목표성능, 법규대응 가능성 등)을 확인하기 위하여 제작된 차량",
M-CAR,MASTER-CAR,실제 개선안이 반영된 PROTO차종 모델로 개발품질목표를 만족하고 실체 양산 조립시 판매 가능한 수준으로 제작된 시작차량,
AP,ADVANCED PILOT,HKMC 양산공정 개발차의 비용 절감과 양산성 선행 검증을 목적으로 PILOT 투입전 선행으로 투입하는 차량 (차량별 투입여부 상이함),
P1,PILOT 1,"남양연구소 파일럿등에서 양산에 준하는 설비 및 금형 지그를 이용하여 처음 생산하는 차량 - 품질확보 계획에 따라 품질확인자(법규 인증자 일부 포함)를 조립하면서 품질문제, 작업성, 생산성 등을 확인하며 자체 부품과 외장 부품의 데이터를 수집하고 작업 지도요원의 교육 실시 - 제품 투입조건: 양산금형(All Tool) 및 치수합격품(Dimension OK)",
SP1,SEMI P1(해외차종),"해외전용신차 개발시에 적용하며, All Tool 부품을 이용하여 연구소 파일럿등에서 실시하는 P1을 의미함",
LP1,LOCAL P1(해외차종),해외공장에서 실시하는 P2를 의미함,
T1,TRYOUT 1,고객 양산공장에서 신차 생산을 위한 설비와 지그의 설치 및 개조 등의 설비 트라이아웃 단계 - 설비 단독 시운전을 통한 설비능력 확인 및 작업자 교육 실시,
P2,PILOT 2,"남양연구소 파일럿등에서 P1에 적용한 부품 및 지그 설비의 문제점을 반영한 결과 확인단계 - P1단계 미개선 미확인된 문제점 개선 데이터를 수집하는 단계로 작업 지도요원의 반복 교육을 통해 작업자 지도 능력을 확보 - 부품 투입조건: 양산공정(Full Tool), 치수합격품(Dimension OK), 신뢰성(ES, MS) 및 조립성 합격품",
SP2,SEMI P2(해외차종),"해외전용신차 개발시에 적용하며, All Tool 부품을 이용하여 연구소 파일럿 등에서 실시하는 P2를 의미함",
LP2,LOCAL P2(해외차종),해외공장에서 실시하는 P2를 의미함,
T2,TRYOUT 2,"양산공장에서 PILOT 운영 시 발췌된 설비 및 지그 문제점을 개선 반영하고 흐름 시운전을 통한 PILOT 품질 수준을 확인하며, 양산성을 확인하는 단계",
M,MASS,"P1, P2단계의 문제점, 대책, 조치결과를 최종 확인하는 단계로 완성차의 품질, 설비, 지그와 양산성을 최종적으로 확인하는 단계",
MP,MASS PRODUCTION,대량생산,
-,단계별 일정,"M0        -
M+3.5        모델고정
M+5.5        도면승도
M+7.5        PROTO
M+12.5        M-CAR
M+14        P1 (T1)
M+15.5        P2 (T2)
M+17.5        M
M+19.5        양산",
