약어,원어,설명,참고자료
A.S.TYPE,AMERICAN STANDARD,액압 발생 방식에 따른 BRAKE MASTER CYLIDER의 한가지 방식. CUT OFF HOLE이 있고 SEAL 이 HOLE을 막으며 전진함에 따라 액압이 발생함.,-
A/BAG DIA C/U,AIR BAG DIAGNOSIS CONTROL UNIT,"에어백 시스템의 자기 진단 제어 장치.IMPACT SNSR, 화약, 배선, CONDENSER 및 배터리 전압을 감지하여 이상이 발생할 경우 경고등을 점등하고 고장내용과 고장시간을 기록 유지한다. CONDENSER는 전기 에너지를 축적하여 IMPACT SNSR ON 시에 화약을 점화시킬 수 있도록 전달한다.",-
A/CHOKE,AUTO CHOKE,자동 혼합비 조정기. 동절기 엔진이 냉각 되었을 때 시동을 걸려면 진한 혼합비가 요구된다. 진한 혼합비를 형성하기 위하여 열에 민감한 에리먼트가 저온에서는 수축하여 쵸크밸브를 닫아서 진한 혼합비를 형성하고 차츰 뜨거워지면 팽창하여 쵸크 밸브를 열어준다.,-
A/CLOCK,ANALOG CLOCK,아날로그 시계,-
A/CON ACTR,AIR CONDITIONER ACTUATOR,에어컨 작동 장치.,-
A/CON COMP,AIR CONDITIONER COMPRESSOR,냉매 압축장치. 하절기 에어콘 작동시 냉매를 압축하기 위한 장치로서 냉매의 압축 후 증발열을 발생시키는 장치,-
A/CON IND,AIR CONDITIONER INDICATOR,에어컨이 작동하는지를 알려주기 위해 에어컨을 켜면 점등되는 표시등.,-
A/CON MODULE,AIR CONDITIONER MODULE,에어콘 공기량 조절 장치.,-
A/CON SW,AIR CONDITIONER SWITCH,에어콘 작동 스윗치.,-
A/CON SW & RLY,AIR CONDITIONER SWITCH AND RELAY,"에어콘 작동 스윗치 및 릴레이. 에어콘이 ""ON""되면 에어콘 스윗치는 ECU에 배터리 전압을 인가시킨다.에어콘 ""ON"" 신호가 입력되면 ECU는 ISA를 구동시키고 POWER TR을 ""ON""시키며 에어콘 MAIN RLY COIL단이 여자되어 릴레이 스윗치가 ""ON""되어서 에어콘 콤푸레샤에서 마그네",-
A/CRUISE ACCEL SW,AUTO CRUISE ACCELERATOR SWITCH,"가속 스윗치. 차속 7Km 이하, THROTTLE 전폐시에 CREEP 량이 적은 2속으로 유도하기 위한 검출 장치. ON/OFF시 작동음이 난다. ACCEL PEDAL을 밟으면 OFF 된다.",-
A/CRUISE ACTR,AUTO CRUISE ACTUATOR,자동 정속 주행 작동기. A/CRUISE UNIT의 작동 명령으로 RPM을 조절하여 정속 운행이 가능토록 하는 장치.,-
A/CRUISE UNIT,AUTO CRUISE UNIT,"자동 정속 주행 장치. 엔진의 각종 정보 (CLUTCH, BRAKE, ECU의 신호)를 받아 차량이 일정한 속도로 주행 가능토록 하는 장치.",-
A/F,AIR FUEL RATIO,공연비.,-
A/INL SNSR,AIR INLET SENSOR,공기 삽입 감지기.,-
A/MIX DMPR,AIR MIXTURE DAMPER,에어콘 공기 혼합장치. 에어콘에서 증발기를 통과한 공기로 히터 코어를 통과하는 공기와 들어가지 않는 공기로 분리된다. 그래서 토출구 직전에서 히터코어 통과 공기와 통과하지 않은 공기를 혼합하여 토출하며 온도를 유지한다.,-
A/MIX DMPR MTR,AIR MIXTURE DAMPER MOTOR,혼합 공기 제동 장치용 모터.,-
A/R,AS REQUIRED,요구대로 사용.,-
A/S,AFTER SERVICE,차량 판매 후 정비를 비롯한 부품 공급.,-
A/T,AUTOMATIC TRANSMISSION,"자동변속기. 운전상황(속도,구동력,부하 등)에 따라 최적으로 변속단이 자동으로 변속되는 변속기.",-
A/THERMO SNSR,AUTOMATIC THERMO SENSOR,자동 온도 감지기. AUTO 에어콘 시스템에서 실내 온도를 희망하는 온도로 유지하기 위해서 실내 온도를 감지하는 감지기로 감지된 온도를 에어콘 ECU로 전송하여 에어콘을 제어한다.,-
A_LIGHT_PHOTO_SNSR,AUTO LIGHT PHOTO SENSOR,오토라이트의 실행 여부를 결정하기 위해 빛의 강도를 측정하는 센서,-
A2B,Automotiv Audio Bus,"자동차용 오디오 버스. 한쌍의 비차폐연선(UTP)을 활용하여 클럭, 전력, 오디오, 제어 데이터를 최저 지연 시간으로 전달하는 고속 디지털 커넥터 기술",-
AAA,AMERICAN AUTOMOBLE ASSOCIATION,미국 자동차 협회.,-
AAF,Active Air Flap,액티브 에어 플랩. 차량 전면 라디에이터 그릴에 장착되어 공기유입을 수시로 조절,-
AAP,AUXILIARY ACCELERATOR PUMP,보조 가속 펌프.,-
ABC,ATOMIC BIOLOGIC CHEMICAL,화생방.,-
ABS,ANTI-LOCK BRAKE SYSTEM,"자동적으로 BRAKE를 컨트롤하는 장치. BRAKE를 밟았을 때 작동하는 유압을 전자식으로 제어, 급브레이크를 밟을 시에 자동차의 바퀴가 잠기지 않게끔 빠른 속도로 브레이크를 붙였다 땠다를 반복하는 방식으로 편제동 방지 및 제동거리를 단축하는 시스템. 미끄럼을 방지하여 직진 안정성과 조향 안정성을 유지 시켜줌.",-
ABS C/U,ABS CONTROL UNIT,ABS 제어장치.,-
ABS ECU,ABS ELECTRONIC CONTROL UNIT,ABS 전자 제어장치.,-
ABS MODUL,ABS MODULATOR,ABS 조절기.,-
ABS P/RLY,ABS POWER RELAY,ABS용 POWER 릴레이.,-
