PROJECT 명,차종명,MAKER,지역,비고
A01,PBV_EV(TSD A-01),HMC,국내,
AB,페가스,KMC,중국,
AC3,i10,HMC,터키,
AD,아반떼,HMC,국내,
ADa,아반떼(엘란트라),HMC,미국,
ADc,아반떼,HMC,중국,
ADcE,아반테 중국PHEV,HMC,중국,
ADi,아반떼,HMC,인도,
AE,아이오닉,HMC,국내,
AEEV,아이오닉 전기차,HMC,국내,
AH2,이온(HA)후속,HMC,인도,
AI3,GRAND i10(3세대),HMC,인도,
AX1,CASPER(캐스퍼),HMC,국내,
AX1kV,캐스퍼 전기차,HMC,국내,
AY,소형 SUV(인도),KMC,인도,
BC3,BAYON(베이온),HMC,터키,
BC3tN,고성능차(GB후속),HMC,터키,
BD,K3,KMC,국내,
BDc,K3 중국병행,KMC,중국,
BDcE,K3 중국 PHEV,KMC,중국,
BDcEV,K3 중국 EV,KMC,중국,
BDm,PORTE 멕시코,KMC,멕시코,
BI3,IB 후속(i20),HMC,인도,
BJ1,엔트리급 EV체코,HMC,체코,
BL7m,리오(SC후속),KMC,멕시코,
BL7r,리오(FB후속),KMC,러시아,
BN7i,HCi 후속,HMC,인도,
BN7r,HCr 후속,HMC,러시아,
BR2,HB20(HB)후속,HMC,브라질,
CB,루이나,HMC,중국,
CD,씨드(JD)후속,KMC,슬로박,
CDE,씨드 PHEV,KMC,슬로박,
CE1,아이오닉6(EV),HMC,국내,
CE1a,아이오닉6 미국,HMC,미국,
CE1c,아이오닉6(EV) 중국,HMC,중국,
CE1kN,아이오닉6 N,HMC,국내,
CJ1,중국 전기차,HMC,중국,
CK,스팅어,KMC,국내,
CL4,K3 후속,KMC,멕시코,
CL4c,CL4 중국,KMC,중국,
CN7,아반떼,HMC,국내,
CN7a,아반떼 미국,HMC,미국,
CN7c,아반떼 중국,HMC,중국,
CN7kH,아반떼 HEV,HMC,국내,
CN7kN,아반떼 고성능,HMC,국내,
CT1,준중형EV,KMC,국내,
CT1a,준중형EV 미국,KMC,미국,
CTs,준중형EV 슬로박,KMC,슬로박,
CV1,EV6(EV),KMC,국내,
CV1a,EV6 미국,KMC,미국,
DE,니로,KMC,국내,
DEE,니로 PBV,KMC,국내,
DEEV,니로 EV,KMC,국내,
DH,제네시스(G80),HMC,국내,
DL3,K5,KMC,국내,
DL3a,K5 미국,KMC,미국,
DL3c,K5 중국,KMC,중국,
DL3cH,K5 HEV 중국,KMC,중국,
DL3kH,K5 HEV,KMC,국내,
DN8,소나타(LF)후속,HMC,국내,
DN8c,소나타(DN8)중국병행,HMC,중국,
DN8cH,DN8c HEV,HMC,중국,
DN8kH,소나타 HEV,HMC,국내,
DU2,MISTRA(cF후속),HMC,중국,
DU2cV,DU2전기차(중국),HMC,중국,
FB,뉴 리오,KMC,러시아,
FE,넥쏘 수소차전기차,HMC,국내,
GB,신형 i20,HMC,터키,
GC,ix25 중국,HMC,중국,
GL3,K8,KMC,국내,
GL3kH,K8 HEV,KMC,국내,
GN7,그랜저,HMC,국내,
GN7kH,그랜저 HEV,HMC,국내,
GS,크레타,HMC,인도,
GSb,크레타,HMC,브라질,
GSr,크레타,HMC,러시아,
HA,이온,HMC,인도,
HC,엑센트,HMC,멕시코,
HCi,베르나,HMC,인도,
HCr,쏠라리스,HMC,러시아,
HDcEV,아반떼 전기차,HMC,중국,
HI,EQ 900,HMC,국내,
HM,모하비,KMC,국내,
HR,포터,HMC,국내,
HREV,HR 전기차,HMC,국내,
IB,신형 i20,HMC,인도,
ID,셀레스타,HMC,중국,
IGkH,그랜저 HEV,HMC,국내,
IK,G70,HMC,국내,
JA,모닝,KMC,국내,
JF,K5,KMC,국내,
JFa,K5 미국,KMC,미국,
JFcE,K5 HEV,KMC,중국,
JG1,GV90(EV),HMC,국내,
JK1,GV70,HMC,국내,
JK1a,GV70 미국,HMC,미국,
JK1aV,GV70 EV 미국,HMC,미국,
JK1kV,GV70 EV,HMC,국내,
JS,밸로스터,HMC,국내,
JSN,벨로스터 고성능,HMC,국내,
JW1,GV60(EV),HMC,국내,
JX1,GV80,HMC,국내,
KA4,카니발,KMC,국내,
KA4c,KA4 중국,KMC,중국,
KA4cH,KA4 중국 HEV,KMC,중국,
KA4kH,카니발 HEV,KMC,국내,
KC,아오파오,KMC,중국,
